player_name,batter,hr_count,avg_hr_distance,max_hr_distance,avg_launch_speed,max_launch_speed,barrels,brl_percent
"Acuña Jr., Ronald",660670,21,418.5,468,109.2,115.5,37,15.7
"Pham, Tommy",502054,10,417.9,446,106.4,110.6,20,6.6
"Wagaman, Eric",676572,9,417.4,453,106.3,110.9,26,6.8
"Arias, Gabriel",672356,12,415.5,440,108.4,112.3,31,11.3
"Walker, Jordan",691023,6,415.3,434,108.0,112.0,26,10.9
"Beck, Jordan",687597,18,414.0,448,104.6,110.8,35,9.6
"Riley, Austin",663586,16,413.4,444,106.9,113.1,44,15.2
"Butler, Lawrence",671732,21,413.3,448,106.0,111.0,36,9.2
"Gonzalez, Romy",663853,9,413.2,457,106.4,112.6,30,12.6
"Jones, Nolan",666134,5,412.6,428,106.2,110.3,21,8.5
"McMahon, Ryan",641857,21,412.1,467,106.1,112.0,39,12.1
"Wood, James",695578,31,411.5,451,109.4,116.3,62,16.3
"Harris II, Michael",671739,20,411.4,451,104.9,112.5,45,9.1
"Witt Jr., Bobby",677951,23,411.3,456,106.7,112.3,63,12.5
"Ozuna, Marcell",542303,23,411.2,464,105.6,112.1,40,11.4
"Moniak, Mickey",666160,24,411.2,452,104.1,108.5,45,13.8
"Jeffers, Ryan",680777,9,410.8,448,105.7,108.9,20,6.3
"Adell, Jo",666176,38,410.7,454,108.4,115.7,65,17.3
"Schwarber, Kyle",656941,59,409.8,468,107.8,117.2,85,20.8
"Cruz, Oneil",665833,20,409.7,463,110.2,122.9,54,17.9
"Ramírez, Agustín",682663,21,409.7,447,107.0,112.2,47,11.0
"Gorman, Nolan",669357,14,409.2,433,106.1,111.3,20,9.1
"Turang, Brice",668930,19,408.7,444,105.0,110.4,35,7.9
"Contreras, Willson",575929,21,408.7,443,106.8,111.8,49,13.9
"Tatis Jr., Fernando",665487,25,408.6,441,107.6,112.8,51,10.9
"Burleson, Alec",676475,18,408.4,443,105.3,108.1,40,9.5
"Realmuto, J.T.",592663,13,408.2,431,106.1,110.4,33,8.8
"Doyle, Brenton",686668,15,408.0,442,105.3,109.5,40,10.8
"Conforto, Michael",624424,12,407.8,431,106.6,111.2,29,9.7
"Sánchez, Jesús",660821,14,407.7,439,108.2,112.1,38,11.1
"Trout, Mike",545361,27,407.6,485,107.1,115.4,45,15.8
"Ohtani, Shohei",660271,62,407.5,469,109.5,120.0,100,23.5
"Alonso, Pete",624413,39,407.3,447,107.6,113.4,89,18.9
"Herrera, Iván",671056,19,407.2,428,107.3,113.0,34,11.0
"Judge, Aaron",592450,55,407.1,469,108.0,117.9,96,24.7
"Buxton, Byron",621439,37,406.9,479,106.4,113.7,61,17.6
"Marte, Ketel",606466,29,406.3,449,107.0,115.4,54,13.5
"Burger, Jake",669394,17,406.1,442,108.3,114.7,37,13.9
"Tovar, Ezequiel",678662,9,406.1,433,103.2,109.3,25,9.3
"Wallner, Matt",670242,22,406.1,452,107.1,113.0,31,13.8
"Marte, Noelvi",682622,14,405.9,444,105.2,116.7,23,9.0
"Goodman, Hunter",696100,34,405.5,451,104.8,113.3,50,12.8
"Carroll, Corbin",682998,31,405.4,474,105.6,111.8,60,14.5
"Sosa, Lenyn",672820,22,405.0,451,105.7,111.2,41,10.4
"De La Cruz, Elly",682829,23,404.9,451,107.6,117.4,46,10.2
"Triolo, Jared",669707,7,404.7,422,103.6,106.3,16,6.2
"Larnach, Trevor",663616,18,404.7,434,105.5,111.8,28,7.2
"Ramos, Heliot",671218,22,404.7,439,106.0,112.8,41,8.8
"Cowser, Colton",681297,16,404.6,455,105.6,113.7,28,14.1
"Correa, Carlos",621043,13,404.6,458,105.5,110.0,29,6.8
"Barger, Addison",680718,25,404.4,448,106.9,115.7,39,11.4
"García, Adolis",666969,20,404.4,433,105.0,110.2,44,11.6
"Rodríguez, Julio",677594,38,404.3,442,107.2,113.5,49,9.8
"Springer, George",543807,37,404.3,450,106.0,114.0,63,16.1
"Mountcastle, Ryan",663624,7,404.0,434,108.5,114.3,28,11.7
"Freeman, Freddie",518692,26,403.9,451,105.1,111.6,45,10.4
"Neto, Zach",687263,26,403.8,447,106.3,110.3,50,14.0
"Bell, Josh",605137,22,403.8,433,107.0,112.5,46,12.0
"Harper, Bryce",547180,27,403.6,448,106.4,112.9,47,12.3
"Olson, Matt",621566,30,403.6,459,106.8,113.4,65,14.3
"Kurtz, Nick",701762,37,403.6,493,105.7,114.6,50,18.4
"Suárez, Eugenio",553993,53,403.2,466,104.7,113.8,57,14.3
"Horwitz, Spencer",687462,11,403.2,421,103.9,106.7,24,8.2
"Swanson, Dansby",621020,24,402.9,441,104.9,109.1,50,11.7
"Lopez, Otto",672640,15,402.5,446,103.1,107.9,33,7.1
"Guerrero Jr., Vladimir",665489,31,402.2,448,107.0,114.5,61,12.2
"Sheets, Gavin",657757,19,401.9,451,104.5,109.6,37,9.5
"Lewis, Royce",668904,13,401.8,451,104.3,110.4,26,8.7
"O'Hoppe, Logan",681351,19,401.7,470,104.9,109.6,38,13.3
"Gurriel Jr., Lourdes",666971,20,401.6,439,103.5,108.5,31,7.2
"Rooker, Brent",667670,32,401.6,440,104.9,113.3,65,13.7
"France, Ty",664034,7,401.4,420,105.3,107.1,28,7.7
"Thomas, Alek",677950,9,401.2,440,103.2,110.6,25,7.8
"Devers, Rafael",646240,35,401.1,442,106.5,114.5,67,16.0
"Abreu, Wilyer",677800,23,400.7,430,105.1,110.7,34,12.3
"Adames, Willy",642715,30,400.6,452,104.0,110.2,53,12.6
"Perez, Salvador",521692,32,400.6,444,105.2,114.1,70,14.8
"Vaughn, Andrew",683734,16,400.3,441,105.8,110.5,40,12.0
"Soto, Juan",665742,43,400.3,437,106.9,115.0,81,18.1
"Pagés, Pedro",686780,11,400.1,429,105.2,111.7,19,7.3
"Seager, Corey",608369,22,399.7,434,106.2,114.0,45,15.3
"Suzuki, Seiya",673548,37,399.7,445,106.1,116.2,69,16.6
"Lowe, Brandon",664040,32,399.6,458,105.0,110.5,47,12.9
"Reynolds, Bryan",668804,16,399.5,432,106.6,112.3,42,10.1
"Bichette, Bo",666182,19,399.3,442,105.1,111.1,39,7.9
"Greene, Riley",682985,38,399.2,471,107.6,114.3,69,17.1
"Rice, Ben",700250,27,399.1,435,106.7,113.5,57,15.4
"Langeliers, Shea",669127,32,399.0,450,105.4,111.3,42,11.0
"Chapman, Matt",656305,23,399.0,450,104.7,110.7,33,9.9
"Pasquantino, Vinnie",686469,32,398.8,448,103.3,111.5,56,10.8
"Garcia, Maikel",672580,16,398.7,428,103.5,108.8,29,5.6
"Arozarena, Randy",668227,30,398.3,445,106.1,111.8,49,11.5
"Laureano, Ramón",657656,24,398.2,438,106.1,112.7,45,13.8
"Scott II, Victor",687363,6,398.0,421,101.8,106.4,11,3.7
"Kirk, Alejandro",672386,21,398.0,432,104.0,109.3,40,10.1
"India, Jonathan",663697,9,397.9,451,104.5,109.0,23,5.8
"Baldwin, Drake",686948,19,397.7,433,104.0,112.3,37,11.0
"Soderstrom, Tyler",691016,25,397.6,445,105.3,111.7,48,11.4
"Baty, Brett",683146,20,397.4,455,106.2,115.6,37,12.8
"Smith, Will",669257,20,397.4,435,104.7,109.5,34,12.2
"Chourio, Jackson",694192,24,397.2,448,104.3,110.3,42,9.7
"García Jr., Luis",671277,16,397.1,422,104.8,110.4,37,9.0
"Ward, Taylor",621493,38,396.8,432,103.4,107.7,56,13.7
"Westburg, Jordan",676059,17,396.8,461,104.0,110.0,28,11.2
"Naylor, Bo",666310,15,396.7,425,103.2,108.8,26,9.7
"Pages, Andy",681624,27,396.6,424,103.9,110.4,38,8.4
"Machado, Manny",592518,29,396.4,452,105.3,114.3,63,12.9
"Hernández, Teoscar",606192,31,396.4,445,104.6,111.8,44,11.5
"Muncy, Max",571970,23,396.3,433,104.7,110.3,32,13.6
"Torres, Gleyber",650402,17,396.3,432,104.9,110.9,36,8.2
"Busch, Michael",683737,38,396.2,466,105.1,111.9,66,17.1
"Gonzales, Nick",693304,5,396.2,427,103.1,106.5,14,4.5
"Cronenworth, Jake",630105,11,396.1,435,103.4,109.1,20,6.2
"Walker, Christian",572233,27,396.1,433,105.2,113.2,53,12.9
"Castellanos, Nick",592206,17,395.9,445,104.4,110.2,32,7.6
"Diaz, Yainer",673237,20,395.2,430,104.5,110.3,43,9.6
"Yelich, Christian",592885,29,395.2,465,105.1,112.4,42,10.3
"Crow-Armstrong, Pete",691718,31,395.1,452,105.7,111.5,59,13.0
"Stowers, Kyle",669065,25,395.1,440,104.6,112.4,53,19.0
"Smith, Cam",701358,9,395.0,446,102.2,108.1,21,6.9
"Aranda, Jonathan",666018,15,394.9,467,105.1,111.1,34,12.8
"Marsh, Brandon",669016,11,394.7,420,103.5,109.3,23,8.3
"Rutschman, Adley",668939,10,394.6,436,105.7,110.1,20,7.5
"Happ, Ian",664023,25,394.4,434,104.1,109.3,44,10.4
"Torkelson, Spencer",679529,32,394.4,436,104.3,110.5,54,13.5
"Langford, Wyatt",694671,23,394.3,437,106.5,113.1,48,14.0
"Schmitt, Casey",669477,12,394.2,423,105.3,111.6,21,9.0
"Lowe, Nathaniel",663993,18,394.2,424,104.9,109.5,27,7.0
"Tucker, Kyle",663656,23,394.1,427,103.5,107.5,45,10.8
"Vientos, Mark",668901,17,393.9,427,104.2,109.7,36,11.5
"Schanuel, Nolan",694384,12,393.8,418,101.7,106.7,19,4.5
"Holliday, Jackson",702616,17,393.4,430,103.0,109.6,35,7.8
"McCutchen, Andrew",457705,13,393.2,417,103.7,106.8,30,8.3
"Perdomo, Geraldo",672695,20,393.1,423,102.2,106.9,33,6.2
"Henderson, Gunnar",683002,17,392.9,417,105.1,110.7,38,8.5
"Hays, Austin",669720,16,392.9,429,103.7,111.9,29,10.4
"Turner, Trea",607208,15,392.8,426,101.6,109.3,28,5.8
"Carpenter, Kerry",681481,28,392.5,437,105.0,112.5,41,12.5
"Duran, Jarren",680776,16,392.4,446,105.5,113.0,44,9.7
"Edman, Tommy",669242,14,392.3,423,102.2,108.6,13,4.5
"Castro, Willi",650489,11,392.3,439,103.3,110.4,19,6.5
"Lowe, Josh",666139,11,392.1,423,104.9,107.8,17,5.9
"McNeil, Jeff",643446,12,392.1,420,101.7,106.8,18,5.1
"Caminero, Junior",691406,46,392.1,447,105.2,114.6,68,14.0
"Rengifo, Luis",650859,9,392.0,419,103.4,108.2,20,5.0
"Manzardo, Kyle",700932,28,391.8,436,103.8,111.3,40,11.8
"O'Hearn, Ryan",656811,18,391.6,417,103.5,107.9,28,7.6
"Clemens, Kody",665019,19,391.6,451,104.1,109.7,31,12.0
"Naylor, Josh",647304,23,391.5,450,102.4,109.7,31,6.7
"Semien, Marcus",543760,16,391.2,424,102.6,108.4,26,6.7
"Báez, Javier",595879,13,390.9,410,102.8,107.5,17,5.5
"Domínguez, Jasson",691176,10,390.9,445,104.2,111.9,19,7.0
"McLain, Matt",680574,15,390.9,422,103.2,107.9,27,7.7
"Merrill, Jackson",701538,18,390.7,431,104.8,108.7,44,13.0
"Rafaela, Ceddanne",678882,16,390.7,426,104.3,112.1,40,9.2
"Raleigh, Cal",663728,67,390.6,448,105.6,114.7,80,19.5
"Lile, Daylen",695734,9,390.6,412,101.8,108.0,14,5.2
"Lukes, Nathan",664770,12,390.5,420,101.5,105.0,16,4.7
"Bader, Harrison",664056,17,390.1,446,103.6,110.7,32,10.2
"Frelick, Sal",686217,12,390.1,422,101.5,107.0,14,3.1
"Stott, Bryson",681082,14,390.1,441,103.7,108.8,21,5.1
"Profar, Jurickson",595777,14,390.0,437,101.7,108.9,19,7.3
"Lindor, Francisco",596019,31,389.9,425,103.8,111.5,46,8.8
"Dingler, Dillon",693307,14,389.9,410,103.8,109.0,30,9.2
"Keith, Colt",690993,13,389.7,450,104.9,109.6,29,9.2
"Durbin, Caleb",702332,11,389.6,419,100.9,104.5,16,4.0
"Betts, Mookie",605141,20,389.6,412,101.4,106.9,29,5.5
"Bogaerts, Xander",593428,11,389.4,424,102.2,109.2,28,6.9
"Giménez, Andrés",665926,10,389.3,422,102.4,106.6,8,3.0
"Smith, Josh",669701,10,388.6,409,104.3,106.6,20,5.0
"Kepler, Max",596146,18,388.6,422,104.7,111.8,38,11.6
"Grisham, Trent",663757,34,388.5,432,102.8,108.6,51,14.2
"Yastrzemski, Mike",573262,18,388.4,432,102.5,109.3,32,8.5
"Goldschmidt, Paul",502671,10,388.3,425,106.3,111.0,31,7.9
"Steer, Spencer",668715,21,388.1,439,102.0,106.1,29,7.6
"Winn, Masyn",691026,9,388.1,403,101.6,107.1,19,4.8
"Contreras, William",661388,19,388.1,441,104.2,112.4,29,6.4
"Nootbaar, Lars",663457,13,388.1,418,104.4,113.0,40,10.2
"Story, Trevor",596115,26,387.7,431,104.0,110.8,43,9.8
"Chisholm Jr., Jazz",665862,33,387.5,442,105.6,110.9,48,15.0
"Robert Jr., Luis",673357,16,387.4,441,105.5,114.2,28,10.2
"Nimmo, Brandon",607043,26,387.4,417,103.5,109.6,40,8.8
"Caratini, Victor",605170,12,387.4,423,102.7,107.7,22,7.7
"Narváez, Carlos",665966,15,387.3,434,103.8,108.7,27,9.1
"Schneemann, Daniel",682177,12,387.3,408,103.9,111.2,30,11.4
"Ortiz, Joey",687401,7,387.0,414,103.1,109.1,12,3.0
"Donovan, Brendan",680977,10,386.9,404,104.7,109.6,35,8.8
"Abrams, CJ",682928,19,386.8,428,104.4,112.7,35,7.6
"Stephenson, Tyler",663886,13,386.8,435,102.9,106.4,27,14.4
"Jung, Josh",673962,14,386.7,414,102.7,109.2,29,8.2
"Bellinger, Cody",641355,31,386.7,451,102.4,108.3,38,7.5
"Shaw, Matt",807713,13,386.5,404,101.8,107.6,21,6.9
"Benintendi, Andrew",643217,20,386.2,425,104.0,108.5,38,11.0
"Bohm, Alec",664761,11,386.1,433,101.9,107.2,24,6.2
"Bregman, Alex",608324,18,385.6,418,101.4,106.9,24,6.6
"Bleday, JJ",668709,15,385.6,428,102.1,109.0,17,7.8
"Kelly, Carson",608348,18,385.6,418,102.6,106.4,28,9.6
"Friedl, TJ",670770,14,385.3,415,100.5,105.0,13,2.7
"Pérez, Wenceel",672761,13,385.2,413,102.0,107.3,23,8.8
"Bailey, Patrick",672275,7,384.5,414,102.4,106.5,16,5.6
"Dubón, Mauricio",643289,7,384.4,402,99.7,103.2,4,1.2
"Clement, Ernie",676391,10,384.4,409,99.7,105.4,12,2.4
"Mullins, Cedric",656775,17,384.1,408,102.0,108.4,20,6.2
"Rocchio, Brayan",677587,7,383.7,393,101.3,105.5,9,3.3
"Volpe, Anthony",683011,22,383.7,442,102.6,110.1,42,10.5
"Altuve, Jose",514888,26,383.7,439,103.2,109.2,30,6.2
"Lee, Brooks",686797,16,383.4,430,101.3,108.0,23,5.8
"Polanco, Jorge",593871,30,382.9,423,103.1,110.4,41,10.3
"Wilson, Jacob",805779,13,382.8,420,100.7,106.4,10,2.2
"Arenado, Nolan",571448,12,382.8,400,100.8,104.4,14,3.9
"Peña, Jeremy",665161,18,382.8,424,102.8,107.7,33,8.2
"Crawford, J.P.",641487,13,382.3,417,101.8,108.6,22,4.8
"Fermin, Freddy",666023,6,382.0,406,102.8,107.1,11,4.2
"Hoerner, Nico",663538,8,381.8,412,99.7,103.8,13,2.3
"Vargas, Miguel",678246,17,381.6,422,101.4,107.9,38,9.3
"Heim, Jonah",641680,11,381.5,417,100.3,107.4,19,6.1
"Wells, Austin",669224,24,381.4,423,103.9,111.5,30,10.2
"Lee, Jung Hoo",808982,8,381.2,406,100.2,105.4,18,3.7
"Kwan, Steven",680757,11,380.7,431,100.1,104.2,11,1.9
"Santana, Carlos",467793,12,380.6,418,104.2,109.6,16,4.9
"Urías, Ramón",602104,12,380.5,410,102.8,108.7,22,8.0
"Ramírez, José",608070,30,380.2,420,102.2,107.0,37,7.0
"Albies, Ozzie",645277,17,379.8,435,102.4,108.1,25,4.9
"Quero, Edgar",700337,5,379.4,401,101.0,107.4,11,3.7
"Sanoja, Javier",691594,6,378.8,402,101.0,103.7,5,1.8
"Díaz, Yandy",650490,25,378.7,435,103.2,113.1,41,8.3
"Flores, Wilmer",527038,16,378.1,413,100.8,106.8,16,4.8
"Hayes, Ke'Bryan",663647,5,377.8,413,101.7,106.8,19,4.5
"Tauchman, Mike",643565,9,377.8,429,102.8,108.2,17,6.8
"Lux, Gavin",666158,7,377.2,415,100.5,106.6,12,3.6
"Andujar, Miguel",609280,10,377.0,403,102.9,110.2,13,4.7
"Hicks, Liam",689414,6,377.0,411,101.7,108.5,10,3.5
"McKinstry, Zach",656716,13,375.5,386,101.1,104.5,21,6.1
"Meidroth, Chase",805367,5,375.4,395,100.4,102.6,6,1.6
"Paredes, Isaac",670623,20,375.2,407,100.9,105.5,19,6.3
"Collins, Isaac",686555,9,373.9,390,99.2,104.0,14,4.9
"Martínez, Angel",682657,11,372.9,394,100.8,106.8,12,3.5
"Arraez, Luis",650333,8,369.7,402,98.0,100.4,7,1.1
"Caballero, José",676609,5,368.8,423,101.8,114.4,13,5.9
"Frazier, Adam",624428,7,365.6,393,97.7,100.7,7,2.0
